suhu,kelembapan,cahaya,hujan,label_cuaca
25.8,54.63,664.92,0.19,cerah
22.82,93.27,351.06,0.19,hujan
31.64,45.46,114.8,0.75,hujan
34.32,51.06,1341.86,0.43,berawan
30.33,41.18,234.76,0.67,hujan
23.29,81.63,1769.95,0.19,cerah
34.05,85.61,1216.95,0.13,cerah
28.88,63.11,1100.53,0.23,cerah
32.14,75.84,1523.6,0.78,hujan
22.61,40.07,1415.96,0.34,berawan
22.0,99.5,1083.53,0.93,hujan
21.96,70.25,1112.87,0.26,cerah
34.87,45.83,1942.76,0.04,cerah
28.55,62.56,907.35,0.54,berawan
29.25,84.33,1482.2,0.04,cerah
23.04,47.44,652.93,0.66,hujan
22.19,48.83,293.34,0.77,hujan
25.52,67.84,1974.03,0.23,cerah
27.35,76.97,1977.2,0.18,cerah
32.52,43.82,715.54,0.18,cerah
26.7,77.74,584.52,0.72,hujan
32.36,90.2,1240.37,0.97,hujan
23.34,84.04,1588.34,0.4,berawan
20.39,96.23,915.49,0.76,hujan
25.91,73.31,912.47,0.72,hujan
20.1,82.64,1436.2,0.34,berawan
29.4,66.04,477.15,0.27,cerah
33.06,60.45,1811.48,0.77,hujan
29.45,42.51,422.21,0.32,berawan
26.32,47.53,1515.29,0.89,hujan
22.88,48.48,842.8,0.93,hujan
27.79,82.22,341.3,0.63,hujan
29.41,84.09,1880.87,0.27,cerah
23.64,40.14,1384.06,0.47,berawan
33.01,91.92,902.41,0.4,berawan
29.62,76.03,1767.21,0.64,hujan
24.87,76.98,1017.99,0.26,cerah
23.32,86.05,230.5,0.11,hujan
22.63,51.84,1958.79,0.49,berawan
23.56,84.23,1911.49,0.31,berawan
20.07,71.66,644.67,0.61,hujan
20.8,52.38,1589.88,0.38,berawan
22.34,60.1,1081.74,0.02,cerah
25.35,97.11,1106.98,0.09,cerah
32.8,86.96,1512.37,0.05,cerah
25.9,45.18,1967.98,0.58,berawan
28.58,42.72,1327.7,0.31,berawan
28.42,93.48,201.57,0.33,berawan
34.78,85.14,493.18,0.33,berawan
24.49,55.55,1215.87,0.81,hujan
33.46,94.79,242.73,0.94,hujan
27.54,62.4,1557.27,0.04,cerah
25.0,80.82,1152.84,0.53,berawan
21.11,45.56,988.65,0.72,hujan
23.42,92.15,1306.74,0.23,hujan
30.83,43.09,940.18,0.31,berawan
20.56,75.81,452.25,0.85,hujan
21.61,98.64,499.35,0.64,hujan
26.52,82.02,1767.48,0.42,berawan
25.55,58.35,713.52,0.79,hujan
31.5,44.2,1137.81,0.88,hujan
26.34,51.05,314.01,0.86,hujan
22.9,78.24,1703.85,0.7,hujan
21.57,88.96,586.43,0.29,hujan
33.15,78.39,471.66,0.39,berawan
25.01,65.59,474.68,0.05,cerah
32.45,92.3,1479.12,0.69,hujan
29.6,70.51,1085.25,0.09,cerah
21.62,43.07,746.98,0.24,cerah
25.55,86.17,635.91,0.49,berawan
26.44,86.97,1495.34,0.36,berawan
30.88,51.27,921.23,0.57,berawan
23.79,49.03,1772.71,0.72,hujan
20.86,70.79,478.87,0.2,cerah
34.57,41.55,1010.82,0.93,hujan
25.76,99.76,827.11,0.77,hujan
32.36,54.95,1260.46,0.55,berawan
25.88,76.39,461.68,0.97,hujan
34.44,46.5,1749.04,0.3,berawan
23.66,44.9,1317.01,0.83,hujan
20.75,92.99,722.7,0.22,hujan
20.39,84.54,1928.44,0.53,berawan
26.14,96.42,1528.76,0.57,berawan
21.96,77.67,1939.34,0.48,berawan
27.02,95.41,1642.58,0.19,cerah
32.36,91.09,517.6,0.19,cerah
31.28,58.99,570.31,0.01,cerah
24.46,52.15,786.9,0.18,cerah
31.24,93.22,381.77,0.49,berawan
31.92,70.82,803.29,0.22,cerah
22.75,44.45,879.89,0.06,cerah
20.44,75.37,1859.92,0.84,hujan
31.98,54.3,493.99,0.48,berawan
29.92,54.23,1107.42,0.16,cerah
34.7,65.81,1128.3,0.35,berawan
25.36,74.53,1784.62,1.0,hujan
28.81,45.46,450.52,0.68,hujan
23.06,58.6,777.12,0.07,cerah
20.49,92.68,1089.52,0.29,hujan
28.98,76.74,1256.34,0.14,cerah
21.29,60.81,1847.25,0.76,hujan
28.95,66.08,1791.91,0.57,berawan
25.56,52.55,1547.48,0.67,hujan
29.85,67.71,1660.48,0.24,cerah
33.73,90.36,324.08,0.82,hujan
28.65,77.51,742.81,0.52,berawan
20.86,70.83,1573.13,0.06,cerah
22.82,88.24,789.83,0.32,hujan
23.15,46.17,1331.59,0.97,hujan
28.96,51.09,1324.75,0.09,cerah
23.47,51.8,528.53,0.31,berawan
22.81,80.52,180.48,0.99,hujan
28.3,43.48,497.65,0.5,berawan
25.57,40.76,1777.92,0.54,berawan
26.9,45.79,1957.49,0.79,hujan
20.28,48.23,1032.7,0.21,cerah
25.51,98.84,693.35,0.68,hujan
22.65,62.98,1172.65,0.38,berawan
33.0,61.05,366.82,0.81,hujan
21.97,76.68,308.68,0.12,cerah
21.93,53.93,825.08,0.42,berawan
31.49,77.51,1986.46,0.7,hujan
30.7,76.25,1678.73,0.66,hujan
31.18,68.08,660.1,0.26,cerah
26.45,85.17,1160.31,0.66,hujan
28.59,46.29,832.15,0.59,berawan
22.14,87.12,482.39,0.92,hujan
29.48,56.21,177.67,0.41,berawan
25.6,96.6,79.98,0.69,hujan
23.38,96.81,285.48,0.69,hujan
24.18,90.61,806.66,0.86,hujan
32.4,80.21,868.41,0.36,berawan
21.63,41.51,69.3,0.91,hujan
27.59,84.76,659.86,0.27,cerah
24.12,53.42,1995.96,0.7,hujan
29.75,66.91,466.88,0.83,hujan
32.62,48.54,1513.21,0.44,berawan
20.06,40.21,467.93,0.23,cerah
33.07,90.53,489.95,0.88,hujan
31.32,93.97,1626.61,0.51,berawan
25.94,80.91,128.27,0.43,berawan
25.22,61.74,1616.65,0.8,hujan
22.91,51.31,1087.56,0.73,hujan
22.0,56.93,673.6,0.82,hujan
30.19,99.91,1942.0,0.17,cerah
21.15,61.55,920.44,0.71,hujan
29.34,43.73,606.97,0.76,hujan
26.03,66.08,1916.47,0.04,cerah
23.75,50.4,593.41,0.71,hujan
26.42,64.27,1664.55,0.03,cerah
29.66,85.33,204.82,0.46,berawan
24.43,47.03,369.37,0.53,berawan
20.95,97.7,1325.34,0.45,hujan
34.83,77.11,1386.37,0.49,berawan
33.35,43.0,1276.77,0.31,berawan
33.85,45.56,746.33,0.87,hujan
28.69,43.35,282.96,0.35,berawan
28.47,75.99,536.15,0.01,cerah
20.05,70.55,194.12,0.4,berawan
26.58,80.47,458.56,0.81,hujan
31.31,50.12,279.75,0.59,berawan
34.04,90.41,893.65,0.63,hujan
31.93,64.37,387.9,0.62,hujan
23.38,55.41,1552.8,0.33,berawan
31.11,76.9,339.12,0.32,berawan
33.72,84.24,1533.02,0.38,berawan
32.2,78.93,747.08,0.71,hujan
27.91,48.09,1981.34,0.8,hujan
34.68,62.61,713.38,0.26,cerah
24.87,73.62,139.83,0.02,berawan
21.91,82.81,1078.7,0.46,berawan
23.77,52.28,944.25,0.11,cerah
25.64,68.14,804.36,0.92,hujan
34.08,53.84,1235.01,0.17,cerah
32.88,54.04,885.55,0.61,hujan
32.31,45.42,295.68,0.74,hujan
28.13,90.95,800.51,0.14,cerah
25.74,61.01,1718.95,0.34,berawan
23.64,96.74,1940.05,0.36,hujan
25.58,97.28,1614.81,0.43,berawan
21.74,89.47,1450.1,0.95,hujan
27.63,68.33,1250.34,0.1,cerah
24.62,85.97,557.33,0.14,hujan
27.84,88.19,1880.95,0.61,hujan
25.74,97.87,1946.96,0.71,hujan
22.02,67.7,1164.84,0.77,hujan
32.71,99.52,1534.82,0.46,berawan
33.92,45.63,1183.75,0.41,berawan
24.28,76.98,404.5,0.15,cerah
24.76,52.85,1085.86,0.41,berawan
32.43,48.45,1804.51,0.13,cerah
34.14,99.93,1360.0,0.67,hujan
22.1,76.81,1196.86,0.26,cerah
27.64,40.62,989.61,0.38,berawan
30.65,91.48,1959.15,0.36,berawan
27.26,93.93,1479.8,0.62,hujan
30.64,49.85,719.35,0.58,berawan
21.8,90.14,620.85,0.71,hujan
24.39,48.14,528.41,0.36,berawan
30.34,45.36,1064.21,0.85,hujan
29.35,49.72,1690.05,0.86,hujan
29.42,43.72,1722.66,0.86,hujan
29.04,73.32,876.71,0.62,hujan
21.23,95.3,1049.3,0.51,hujan
30.84,76.24,282.99,0.4,berawan
26.36,85.21,1208.49,0.64,hujan
29.55,97.51,1040.76,0.66,hujan
29.85,65.71,549.21,0.7,hujan
21.65,68.59,325.42,0.85,hujan
24.07,96.37,515.6,0.24,hujan
26.66,70.49,1031.03,0.24,cerah
21.72,86.1,1305.44,0.17,hujan
32.51,60.41,885.05,0.28,cerah
30.09,57.72,882.58,0.11,cerah
31.73,67.11,1816.72,1.0,hujan
29.59,99.66,304.59,0.54,berawan
21.17,97.51,1617.8,0.64,hujan
32.98,50.42,1094.17,0.09,cerah
32.24,61.87,1437.95,0.45,berawan
34.19,62.28,819.03,0.43,berawan
26.24,87.9,1074.77,0.65,hujan
28.37,60.82,1022.2,0.94,hujan
22.69,70.92,82.45,0.03,berawan
28.05,70.28,1911.23,0.59,berawan
25.9,41.05,1730.46,1.0,hujan
23.86,51.32,254.62,0.57,berawan
33.98,71.82,1150.54,0.88,hujan
32.29,65.08,1982.34,0.17,cerah
20.49,43.98,1005.91,0.84,hujan
27.16,44.0,886.7,0.41,berawan
20.19,73.14,1784.55,0.61,hujan
25.31,59.55,99.28,0.36,berawan
22.98,80.11,912.61,0.88,hujan
33.79,50.28,489.04,0.93,hujan
29.28,47.19,654.29,0.07,cerah
32.71,73.76,486.98,0.63,hujan
34.28,65.76,1418.02,0.34,berawan
23.08,95.47,1886.4,0.5,hujan
20.0,89.54,917.29,0.2,hujan
32.72,76.97,937.58,0.73,hujan
22.53,51.13,1398.33,0.2,cerah
22.09,94.23,1168.65,0.15,hujan
27.35,89.46,519.45,0.8,hujan
28.67,65.34,819.48,0.45,berawan
25.68,73.76,466.92,0.95,hujan
30.24,55.52,1888.65,0.3,berawan
24.32,49.73,260.07,0.11,cerah
20.49,92.68,1351.72,0.31,hujan
30.16,85.68,1781.71,0.46,berawan
33.54,82.45,1476.19,0.17,cerah
32.45,52.63,1019.3,0.97,hujan
25.26,84.49,80.34,0.92,hujan
27.81,83.0,1500.62,0.32,berawan
25.54,89.82,1502.67,0.74,hujan
23.14,44.59,414.36,0.01,cerah
21.45,95.56,390.39,0.95,hujan
21.43,67.1,1458.87,0.14,cerah
28.26,93.38,459.22,0.97,hujan
29.11,52.51,1204.58,0.08,cerah
25.58,88.82,203.29,0.45,berawan
32.15,51.48,261.34,0.01,cerah
25.63,50.94,1983.64,0.0,cerah
22.49,69.81,1861.35,0.93,hujan
31.75,80.05,841.07,0.27,cerah
22.75,82.61,1280.32,0.51,berawan
34.72,41.7,930.76,0.04,cerah
27.98,56.97,1428.13,0.96,hujan
30.41,85.43,652.27,0.68,hujan
31.85,66.22,1965.46,0.37,berawan
30.92,95.73,76.52,0.95,hujan
22.68,95.78,878.55,0.98,hujan
28.46,75.57,271.52,0.76,hujan
31.74,50.86,460.82,0.58,berawan
27.61,41.59,1929.36,0.13,cerah
29.83,46.03,1651.17,0.86,hujan
25.21,87.66,461.52,0.81,hujan
33.22,81.97,515.31,0.26,cerah
21.35,74.55,657.09,0.96,hujan
25.04,58.87,633.88,0.37,berawan
22.65,62.9,1225.57,0.55,berawan
34.59,56.58,408.86,0.14,cerah
32.22,96.09,1461.65,0.59,berawan
33.24,65.03,1780.82,0.04,cerah
20.02,57.59,719.68,0.08,cerah
31.3,90.95,485.3,0.68,hujan
21.58,61.22,176.63,0.72,hujan
34.58,47.64,1275.96,0.01,cerah
21.14,68.04,1050.76,0.45,berawan
23.13,47.22,1529.11,0.09,cerah
20.84,54.79,462.87,0.39,berawan
20.07,81.07,1300.2,0.88,hujan
31.5,86.23,635.1,0.55,berawan
25.93,68.33,994.11,0.07,cerah
31.5,58.24,1042.51,0.73,hujan
25.25,63.7,232.7,0.87,hujan
34.78,55.84,340.34,0.03,cerah
20.59,48.32,591.06,0.83,hujan
28.51,91.56,808.12,0.21,cerah
20.25,84.75,1126.14,0.59,berawan
32.79,45.8,1268.57,0.47,berawan
27.27,62.1,974.81,0.2,cerah
25.06,69.23,1218.1,0.83,hujan
29.57,52.44,1022.15,0.74,hujan
22.7,78.86,706.68,0.11,cerah
21.53,51.09,917.22,0.85,hujan
29.38,74.73,291.26,0.44,berawan
26.81,92.6,1115.88,0.93,hujan
33.68,52.66,1172.22,0.54,berawan
25.95,99.3,1356.74,0.74,hujan
23.59,85.32,1901.47,0.39,hujan
33.62,92.52,1232.12,0.08,cerah
34.17,50.09,163.4,0.4,berawan
22.88,79.68,1539.25,0.04,cerah
22.86,48.82,1901.3,0.5,berawan
20.46,70.01,1662.01,0.7,hujan
34.52,44.56,712.48,0.25,cerah
23.26,70.86,1184.75,0.11,cerah
22.53,81.84,1307.23,0.34,berawan
21.83,72.83,1688.3,0.58,berawan
31.13,81.95,167.2,0.63,hujan
